GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe,pov_ci_low,pov_ci_high
48143,"Erath County, Texas",65115,4506,6687,727,40379,112,0.16560588424676193,0.017998547683076217,0.14760733656368571,0.18360443192983814
48375,"Potter County, Texas",53249,2372,22778,1957,109370,185,0.20826552070951815,0.017889921234982984,0.19037559947453517,0.22615544194450113
48341,"Moore County, Texas",61762,4676,3867,1039,21154,77,0.1828023068923135,0.04911149902303435,0.13369080786927914,0.23191380591534785
48233,"Hutchinson County, Texas",67228,8462,2652,544,19904,35,0.13323954983922828,0.027330185462270683,0.1059093643769576,0.16056973530149896
48319,"Mason County, Texas",74180,6905,276,106,3947,11,0.06992652647580441,0.026855132792758005,0.04307139368304641,0.09678165926856241
48019,"Bandera County, Texas",75813,6485,2918,718,21663,185,0.13469971841388542,0.03312410253192038,0.10157561588196504,0.1678238209458058
48279,"Lamb County, Texas",60760,4148,1887,433,12556,85,0.15028671551449507,0.03447049411955872,0.11581622139493636,0.1847572096340538
48175,"Goliad County, Texas",59359,7643,918,222,7046,40,0.13028668748225944,0.031498555459147294,0.09878813202311215,0.16178524294140673
48023,"Baylor County, Texas",45370,9031,744,204,3415,4,0.2178623718887262,0.05973591175919821,0.158126460129528,0.2775982836479244
48317,"Martin County, Texas",93734,17711,428,206,5145,40,0.08318756073858115,0.040033648940554604,0.043153911798026544,0.12322120967913575
48275,"Knox County, Texas",56667,6490,502,146,3189,16,0.15741611790529947,0.045775564000410524,0.11164055390488895,0.20319168190571
48425,"Somervell County, Texas",79825,23833,716,190,9530,5,0.0751311647429171,0.01993700195575308,0.05519416278716402,0.09506816669867019
48163,"Frio County, Texas",66010,6533,3182,783,16306,401,0.19514289218692507,0.04777872904656433,0.14736416314036074,0.2429216212334894
48313,"Madison County, Texas",74596,7602,1241,361,11393,323,0.10892653383656631,0.03153527764637861,0.07739125619018769,0.14046181148294493
48411,"San Saba County, Texas",55819,7549,546,192,5087,64,0.10733241596225673,0.03771910320647707,0.06961331275577967,0.1450515191687338
48263,"Kent County, Texas",72889,17672,67,41,680,117,0.09852941176470588,0.05786174333125317,0.04066766843345271,0.15639115509595905
48075,"Childress County, Texas",58654,17186,815,348,5311,39,0.15345509320278666,0.06551469302897085,0.08794040017381581,0.2189697862317575
48433,"Stonewall County, Texas",56875,23710,176,89,1181,116,0.14902624894157493,0.07392461615273194,0.07510163278884299,0.22295086509430687
48109,"Culberson County, Texas",58777,24616,424,307,2177,18,0.19476343592099218,0.14101055704770524,0.05375287887328695,0.3357739929686974
48413,"Schleicher County, Texas",86694,15077,234,113,2358,3,0.09923664122137404,0.04792180145287282,0.05131483976850122,0.14715844267424688
